"BotWeak","BotWeak2","23","BotStrong","BotStrong3","19","BotWeak","BotWeak4","15","BotStrong","BotStrong1","11"
"BotStrong","BotStrong3","24","BotStrong","BotStrong1","16","BotWeak","BotWeak2","13","BotWeak","BotWeak4","7"
"BotStrong","BotStrong3","26","BotStrong","BotStrong1","20","BotWeak","BotWeak4","17","BotWeak","BotWeak2","10"
"BotStrong","BotStrong1","26","BotStrong","BotStrong3","16","BotWeak","BotWeak4","11","BotWeak","BotWeak2","11"
"BotStrong","BotStrong1","31","BotWeak","BotWeak2","16","BotWeak","BotWeak4","12","BotStrong","BotStrong3","8"
"BotWeak","BotWeak4","27","BotStrong","BotStrong1","26","BotStrong","BotStrong3","17","BotWeak","BotWeak2","17"
"BotStrong","BotStrong1","25","BotWeak","BotWeak4","19","BotStrong","BotStrong3","17","BotWeak","BotWeak2","8"
"BotStrong","BotStrong3","34","BotStrong","BotStrong1","11","BotWeak","BotWeak2","10","BotWeak","BotWeak4","4"
"BotWeak","BotWeak2","25","BotStrong","BotStrong1","15","BotStrong","BotStrong3","13","BotWeak","BotWeak4","12"
"BotWeak","BotWeak2","26","BotStrong","BotStrong1","24","BotWeak","BotWeak4","18","BotStrong","BotStrong3","6"
"BotStrong","BotStrong1","23","BotStrong","BotStrong3","13","BotWeak","BotWeak4","7","BotWeak","BotWeak2","5"
"BotStrong","BotStrong3","24","BotWeak","BotWeak4","14","BotStrong","BotStrong1","14","BotWeak","BotWeak2","12"
"BotStrong","BotStrong1","30","BotWeak","BotWeak4","15","BotStrong","BotStrong3","10","BotWeak","BotWeak2","2"
"BotStrong","BotStrong1","23","BotStrong","BotStrong3","14","BotWeak","BotWeak2","13","BotWeak","BotWeak4","9"
"BotStrong","BotStrong1","25","BotWeak","BotWeak4","17","BotWeak","BotWeak2","10","BotStrong","BotStrong3","9"
"BotWeak","BotWeak4","30","BotStrong","BotStrong1","19","BotWeak","BotWeak2","15","BotStrong","BotStrong3","8"
"BotWeak","BotWeak2","31","BotStrong","BotStrong3","25","BotWeak","BotWeak4","13","BotStrong","BotStrong1","0"
"BotStrong","BotStrong1","29","BotStrong","BotStrong3","9","BotWeak","BotWeak4","9","BotWeak","BotWeak2","2"
"BotStrong","BotStrong1","37","BotWeak","BotWeak4","17","BotStrong","BotStrong3","16","BotWeak","BotWeak2","9"
"BotStrong","BotStrong3","27","BotStrong","BotStrong1","18","BotWeak","BotWeak2","12","BotWeak","BotWeak4","8"
"BotStrong","BotStrong1","26","BotStrong","BotStrong3","25","BotWeak","BotWeak4","12","BotWeak","BotWeak2","7"
"BotStrong","BotStrong1","32","BotStrong","BotStrong3","16","BotWeak","BotWeak2","14","BotWeak","BotWeak4","8"
"BotStrong","BotStrong1","30","BotStrong","BotStrong3","19","BotWeak","BotWeak2","12","BotWeak","BotWeak4","11"
"BotStrong","BotStrong1","30","BotWeak","BotWeak4","16","BotWeak","BotWeak2","12","BotStrong","BotStrong3","7"
"BotWeak","BotWeak2","28","BotStrong","BotStrong3","24","BotStrong","BotStrong1","22","BotWeak","BotWeak4","11"
"BotStrong","BotStrong3","24","BotWeak","BotWeak4","20","BotWeak","BotWeak2","13","BotStrong","BotStrong1","3"
"BotStrong","BotStrong1","32","BotWeak","BotWeak4","20","BotStrong","BotStrong3","10","BotWeak","BotWeak2","8"
"BotWeak","BotWeak2","28","BotStrong","BotStrong3","19","BotStrong","BotStrong1","15","BotWeak","BotWeak4","12"
"BotStrong","BotStrong1","24","BotWeak","BotWeak2","14","BotWeak","BotWeak4","11","BotStrong","BotStrong3","9"
"BotStrong","BotStrong3","31","BotStrong","BotStrong1","21","BotWeak","BotWeak4","14","BotWeak","BotWeak2","13"
